연도,번호,구분,종목,업종,증권사,수요예측_경쟁률,밴드상단_초과비율,일반청약_경쟁률,의무확약비율_전,의무확약비율_후,유통주식수_비율,유통주식_비율_후,시가총액_억원,환매청구권,특이점,공모가,시초가,시초가_수익률,첫날_종가,종가_수익률,평균_매도가,수익률,수익금,세금_고려
2024,18,일반,민테크,ess 진단 시스템,kb증권,946.73,,1529.43,0.0423,0.078,0.2862,0.2804,2558.0,,상단 초과,,14900.0,0.419047619047619,12880.0,-0.1355704697986577,15250.0,0.4523809523809524,42503.0,
2024,19,일반,코칩,초소형 이차전지,한국투자,988.32,,734.49,0.1319,0.4502,0.2485,0.1978,1530.0,,상단 초과,,33000.0,0.8333333333333334,28450.0,-0.1378787878787878,33000.0,1.5384615384615383,14941.0,
2024,20,일반,hd현대마린,조선as,"kb, 신한, 하나",201.13,,225.4,0.4578,0.552,0.1587,0.1023,370000.0,,상단,,119900.0,0.4376498800959232,163900.0,0.3669724770642202,120040.0,0.4393285371702637,546133.0,
2024,21,일반,아이씨티케이,보안 반도체 설계,nh투자,783.2,,1107.95,0.0654,0.1365,0.3211,,2624.0,,상단초과,,19990.0,-0.0005,28700.0,0.4357178589294647,23400.0,0.17,23506.0,
2024,22,일반,노브랜드,디자인플랫폼,삼성증권,1075.616,,2071.41,0.0451,0.1221,0.2274,0.213,1146.0,,상단초과,,31000.0,1.2142857142857142,54300.0,0.7516129032258064,32100.0,1.292857142857143,144330.0,
2024,23,일반,라메디텍,미용/의료기기,대신,1115.44,,2140.38,0.0993,0.2122,0.3313,0.307,1384.0,,상단초과,,50000.0,2.125,24550.0,-0.509,52000.0,2.25,179020.0,
2024,24,일반,씨어스테크놀로지,의료기술,한국투자,1084.39,,1436.96,0.0206,0.0814,0.2922,0.2858,2089.0,,상단초과,,34450.0,1.026470588235294,18500.0,-0.4629898403483309,,,,
2024,25,일반,한중엔시에스,ESS/EV 부품,IBK투자,725.94,,1000.82,0.1244,0.2084,0.2922,0.2655,2625.0,,상단초과,,45550.0,0.5183333333333333,34000.0,-0.2535675082327113,,,,
2024,26,일반,에스오에스랩,라이다 솔루션,한국투자,1072.3,,2162.65,0.0419,0.2402,0.2973,0.2402,2015.0,,상단초과,,20850.0,0.8130434782608695,14420.0,-0.3083932853717026,20350.0,0.7695652173913043,70502.0,
2024,27,일반,하이젠알앤엠,범용 모터,한국투자,1099.21,,2549.13,0.118,0.3275,0.143,0.1183,2162.0,,상단초과,,18000.0,1.5714285714285714,15160.0,-0.1577777777777777,17720.0,1.5314285714285714,128251.0,
